grupo,numero,titulo_ptbr,capa_url,logo_url
categorias,1,Para você (100 melhores de hoje),https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-001-para-voce-100-melhores-de-hoje.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-001-para-voce-100-melhores-de-hoje.webp
categorias,2,Em alta,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-002-em-alta.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-002-em-alta.webp
categorias,3,Populares,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-003-populares.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-003-populares.webp
categorias,4,Em alta no Trakt,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-004-em-alta-no-trakt.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-004-em-alta-no-trakt.webp
categorias,5,Populares no Trakt,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-005-populares-no-trakt.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-005-populares-no-trakt.webp
categorias,6,Mais aguardados no Trakt,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-006-mais-aguardados-no-trakt.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-006-mais-aguardados-no-trakt.webp
categorias,7,100 melhores do IMDb,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-007-100-melhores-do-imdb.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-007-100-melhores-do-imdb.webp
categorias,8,20 mais populares,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-008-20-mais-populares.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-008-20-mais-populares.webp
categorias,9,Ação,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-009-acao.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-009-acao.webp
categorias,10,Comédia,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-capa-010-comedia.webp,https://raw.githubusercontent.com/alenkpedro/xperience-ptbr-artes/main/categoria-logo-010-comedia.webp
